Facultad,Licenciatura,Bachillerato,Bioquimica Diagnostico Inicial,Intentos,Calificacion,Fecha,Bioquimica Diagnostico Final,Intentos,Calificacion,Fecha,Topicos de Salud I Diagnostico Inicial,Intentos,Calificacion,Fecha,Topicos de Salud I Diagnostico Final,Intentos,Calificacion,Fecha,Topicos de Salud II Diagnostico Inicial,Intentos,Calificacion,Fecha,Topicos de Salud II Diagnostico Final,Intentos,Calificacion,Fecha,Introducción a la Ética Diagnostico Inicial,Intentos,Calificacion,Fecha,Introducción a la Ética Diagnostico Final,Intentos,Calificacion,Fecha,Biologia Celular Diagnostico Inicial,Intentos,Calificacion,Fecha,Biologia Celular Diagnostico Final,Intentos,Calificacion,Fecha,"Lectura y Redacción, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Lectura y Redacción, Diagnostico Final",Intentos,Calificacion,Fecha,"Matematicas, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Matematicas, Diagnostico Final",Intentos,Calificacion,Fecha,"Estadistica en la investigación social, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Estadistica en la investigación social, Diagnostico Final",Intentos,Calificacion,Fecha
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,Bioquimica Diagnostico Inicial,1,6,3/3/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,8,3/19/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/19/2025,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,8,3/19/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/19/2025,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,5,3/19/2025,,,,
fm-cu,medico_cirujano,otra,Bioquimica Diagnostico Inicial,1,3,3/19/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,biomedica,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,otra,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Inicial,1,5,3/20/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/20/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,5,3/20/2025,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,4,3/20/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-unam,Bioquimica Diagnostico Inicial,1,5,3/21/2025,,,,,,,,,,,,,Topicos de Salud II Diagnostico Inicial,1,5,4/19/2025,,,,,,,,,,,,,,,,,,,,,"Lectura y Redacción, Diagnostico Inicial",1,3,4/19/2025,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Inicial,1,4,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,4/18/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,3,4/18/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,6,3/22/2025,,,,,Biologia Celular Diagnostico Inicial,1,4,4/18/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,5,5/17/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,4/18/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,5,4/18/2025,,,,
fm-cu,medico_cirujano,enp,Bioquimica Diagnostico Inicial,1,7,3/19/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,7,3/19/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,7,3/20/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,8,3/20/2025,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,5,6/6/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,4,6/6/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,5,6/6/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,6,6/6/2025,,,,,Biologia Celular Diagnostico Inicial,1,5,6/6/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,7,6/6/2025,,,,,"Matematicas, Diagnostico Inicial",1,6,6/6/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,4,6/6/2025,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,6,3/20/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,4,3/20/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,7,3/20/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,7,3/20/2025,,,,,Biologia Celular Diagnostico Inicial,1,5,3/20/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/20/2025,,,,,"Matematicas, Diagnostico Inicial",1,9,3/20/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,3,3/20/2025,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,6,3/20/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,4,3/20/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,7,3/20/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,7,3/20/2025,,,,,Biologia Celular Diagnostico Inicial,1,5,3/20/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/20/2025,,,,,"Matematicas, Diagnostico Inicial",1,9,3/20/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,3,3/20/2025,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,com_medicina,inc-unam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,Bioquimica Diagnostico Inicial,1,5,3/21/2025,,,,,,,,,,,,,Topicos de Salud II Diagnostico Inicial,1,5,4/19/2025,,,,,,,,,,,,,,,,,,,,,"Lectura y Redacción, Diagnostico Inicial",1,3,4/19/2025,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,otra,otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,Bioquimica Diagnostico Inicial,1,9,3/17/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,9,3/17/2025,,,,,,,,,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,8,3/17/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,com_medicina,inc-sep,Bioquimica Diagnostico Inicial,1,5,3/21/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,6,3/21/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Inicial,1,4,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,4/18/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,3,4/18/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,6,3/22/2025,,,,,Biologia Celular Diagnostico Inicial,1,4,4/18/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,5,5/17/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,4/18/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,5,4/18/2025,,,,
fm-cu,medico_cirujano,inc-unam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,4,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,7,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/22/2025,,,,,,,,,,,,,"Lectura y Redacción, Diagnostico Inicial",1,9,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,5,3/22/2025,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,Topicos de Salud II Diagnostico Inicial,1,4,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,7,3/22/2025,,,,,,,,,,,,,,,,,,,,,"Matematicas, Diagnostico Inicial",1,8,3/22/2025,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Inicial,1,3,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,4,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,3,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,1,3/22/2025,,,,,Biologia Celular Diagnostico Inicial,1,5,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,3,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,4,3/22/2025,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,8,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,6,3/22/2025,,,,,Biologia Celular Diagnostico Inicial,1,9,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,10,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,8,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,3/22/2025,,,,
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,8,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,6,3/22/2025,,,,,Biologia Celular Diagnostico Inicial,1,9,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,10,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,8,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,3/22/2025,,,,
fm-cu,medico_cirujano,inc-unam,Bioquimica Diagnostico Inicial,1,9,3/22/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Inicial,1,4,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,4/18/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,3,4/18/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,6,3/22/2025,,,,,Biologia Celular Diagnostico Inicial,1,4,4/18/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,5,5/17/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,4/18/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,5,4/18/2025,,,,
fm-cu,medico_cirujano,enp,Bioquimica Diagnostico Final,1,7,3/25/2025,,2,9,3/28/2025,Topicos de Salud I Diagnostico Inicial,1,8,3/25/2025,Topicos de Salud I Diagnostico Final,1,9,3/29/2025,Topicos de Salud II Diagnostico Inicial,1,8,3/25/2025,Topicos de Salud II Diagnostico Final,1,9,3/29/2025,Introducción a la Ética Diagnostico Inicial,1,8,3/25/2025,Introducción a la Ética Diagnostico Final,1,9,3/29/2025,Biologia Celular Diagnostico Inicial,1,8,3/25/2025,Biologia Celular Diagnostico Final,2,9,3/29/2025,"Lectura y Redacción, Diagnostico Inicial",1,10,3/25/2025,"Lectura y Redacción, Diagnostico Final",2,10,3/29/2025,"Matematicas, Diagnostico Inicial",1,10,3/25/2025,"Matematicas, Diagnostico Final",1,10,3/29/2025,"Estadistica en la investigación social, Diagnostico Inicial",1,8,3/25/2025,"Estadistica en la investigación social, Diagnostico Final",1,8,3/29/2025
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,Topicos de Salud II Diagnostico Inicial,1,4,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,7,3/22/2025,,,,,,,,,,,,,,,,,,,,,"Matematicas, Diagnostico Inicial",1,8,3/22/2025,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
fm-cu,medico_cirujano,otra,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
fm-cu,medico_cirujano,inc-unam,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
fm-cu,medico_cirujano,enp,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
fm-cu,medico_cirujano,enp,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
fm-cu,medico_cirujano,otra,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
fm-cu,medico_cirujano,otra,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
fm-cu,medico_cirujano,inc-unam,Bioquimica Diagnostico Inicial,1,7,3/22/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/22/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/22/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,8,3/23/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/22/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/22/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/22/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/22/2025,,,,
